"tweet_id";"screen_name";"created_at";"text"
"1122306135455883270";"realJohnCurley";"2019-04-28 01:06:48";"#trending #news NRA Suspends Top Lawyer While Oliver North Warns Group Could Lose Nonprofit Status… https://t.co/p7zMLyc7Bb"
"1122306140191305728";"Nachinhuu";"2019-04-28 01:06:49";"Item shop for today, new weapon skin ""Divine"" I like it ! #Fortnite #FBR #Games #Ikonik #Scenario #Ikon #Leaks… https://t.co/ptYm4WDyuF"
"1122306145014534144";"VYFe5JDWNU0jqIZ";"2019-04-28 01:06:51";"RT @2LRLW6ZzfcnYeXc: ?????????????????

.
-`?   Takahisa?Masuda   -`?

.
03line  }  ??  }  ??????

.
?????????

????????

.?????????????????…"
"1122306154770472962";"tegochan0111";"2019-04-28 01:06:53";"RT @tego11_masuuu74: ??????????

??4?28???
13:00?? ????????????????

??+?????
???,??????????
???????????????????

????????????????????

#NEWS?…"
"1122306166195777536";"t_to_T_0704";"2019-04-28 01:06:56";"RT @sara_ramass: NEWS WORLDISTA????????????????

?)?? 4/28(?
             1????2?  ??
             ??????

????????????????????????????????????????????…"
"1122306168771076096";"ahappylettuce";"2019-04-28 01:06:56";"RT @tqttq_macchu: ??????????????????????????????????????
??????????????( ;?; )
????????( ;?; )

#??????
#NEWS https://t.co/VRWuK5ZkHg"
"1122306173829619713";"MasonPepper2";"2019-04-28 01:06:57";"RT @barrybutler9: Springtime in Chicago.  Saturday on Michigan Avenue. #snow #weather #news #ilwx #weather https://t.co/ahzYEwJLlP"
"1122306184604725249";"DHJLeusch";"2019-04-28 01:07:00";"RT @KathleenMDanes: Talk about a photo being worth a thousand words. https://t.co/CZkduheLDE"
"1122306191005118464";"_kaguya_8";"2019-04-28 01:07:02";"NEWS WORLDISTA

????? ?? ??

?????????????

?DM????????????

??????????????
?????????????????????

#NEWS?????? #NEWS?????  #NEWS?"
"1122306191059632128";"crypto__mak";"2019-04-28 01:07:02";"SBI CEO Yoshitaka Kitao claims Ripple’s work with XRP in the Middle East region is a success… https://t.co/y2wuM9PqcW"
"1122306192221642752";"SalomonOli";"2019-04-28 01:07:02";"RT @imtomriley: Group plans to open new bookstore in downtown Goshen
https://t.co/1Kppu1C9nQ
#Startup #News #Tech"
"1122306199809142784";"DavidTareen";"2019-04-28 01:07:04";"How Digital Transformation is Minimizing the Data Risk https://t.co/CYvr0Np4Vq #Transformation… https://t.co/pMnxMcGm4Y"
"1122306204645187585";"claudiomkd";"2019-04-28 01:07:05";"LumiWatch: on arm projected graphics and touch input
by CarnegieMellon |

#UX #IoT #InternetOfThings… https://t.co/KWwMlPkwTO"
"1122306212001984512";"EthanBSFO";"2019-04-28 01:07:07";"RT @sheena2804: Internet of Things for Smart Buildings ~ A summary.  
 #IoT #IIoT #SmartBuildings #DigitalTransformation #digital #ioe #sma…"
"1122306213612544000";"dahboo7";"2019-04-28 01:07:07";"Big Asteroid Impact Exercise Next Week Held by NASA, FEMA and International Partners #Breaking #News
https://t.co/gmASk4PsNz"
"1122306223611756546";"1337YouTubers";"2019-04-28 01:07:09";"https://t.co/W7Tnb4M2Gq Join the discussion at https://t.co/VGIDl64n7l to chat about #news and current events!"
"1122306227571085312";"caribianblue4";"2019-04-28 01:07:10";"RT @MITO9864news: NEWS LIVE TOUR 2019
WORLDISTA

?????4?28? 1??2??????    1?

???????????????1?????????

?????????????

???????????????????…"
"1122306228003033088";"jmsste";"2019-04-28 01:07:10";"RT @_kaguya_8: NEWS WORLDISTA

????? ?? ??

?????????????

?DM????????????

??????????????
?????????????????????

#NEWS?????? #NEWS?????  #NEW…"
"1122306235187941376";"izu_1923";"2019-04-28 01:07:12";"RT @livedoornews: ?????#??????????? #zopp ?????????????????????
https://t.co/OKLeqWPnjd

#NEWS #SexyZone #?????WEST ???????????????????????…"
"1122306254217646081";"420JobsBoard";"2019-04-28 01:07:17";"#news #cannabis Cannabis stocks rally after 3 surveys find Americans increasingly favor legalization - MarketWatch https://t.co/XR5a5SeI5R"
"1122306266158727168";"michabird67";"2019-04-28 01:07:19";"RT @avoiceforchoice: Peshawar private #schools not allowing #vaccination drives due to fears #Parents will set schools on fire if their #Ch…"
"1122306268901924864";"clark_delon";"2019-04-28 01:07:20";"RT @barrybutler9: Springtime in Chicago.  Saturday on Michigan Avenue. #snow #weather #news #ilwx #weather https://t.co/ahzYEwJLlP"
"1122306281170198528";"ChrisWill1337";"2019-04-28 01:07:23";"RT @ChrisWill1337: brexit reacts after last extension https://t.co/Ywl6h62vKM ,please RT and share #gold #silver #stocks #trading #trades #…"
"1122306290624159744";"kolmafvan";"2019-04-28 01:07:25";"RT @BlondeMaleBlog: New Retinol Capsules Launched! #retinol #Skin #skincareroutine
#skincaretwitter #skincare #skincaretips #mens #beauty
#…"
"1122306292578541568";"_s_k_xoxo";"2019-04-28 01:07:26";"RT @tqttq_macchu: ??????????????????????????????????????
??????????????( ;?; )
????????( ;?; )

#??????
#NEWS https://t.co/VRWuK5ZkHg"
"1122306298509451265";"Adria_Dark";"2019-04-28 01:07:27";"RT @dahboo7: Big Asteroid Impact Exercise Next Week Held by NASA, FEMA and International Partners #Breaking #News
https://t.co/gmASk4PsNz"
"1122306299952345088";"aaroque2016";"2019-04-28 01:07:28";"RT @dahboo7: Americans Brace for Shock Surge In Everyday #Food Prices #Breaking #News 
https://t.co/gjfMDs48cd"
"1122306311457255424";"TradeStrategyCo";"2019-04-28 01:07:30";"#BTCUSD $5181.4
Price change 1-Hour 0.17% | 1-Day 0.81% | 1-Week -2.75%
4/28/2019 2:07 AM

Real-time #bitcoin price… https://t.co/B4Mt57u2LH"
